,altura,coordenadas,Longitude,Latitude,value
0,18.0,"-57.57173868094397,-38.0076919446986,27.33496747388818",-57.57173868094397,-38.0076919446986,27.33496747388818
1,14.0,"-57.58048280927903,-38.01251665059372,30.4151212091967",-57.58048280927903,-38.01251665059372,30.4151212091967
2,30.0,"-57.57701693089852,-38.01512497997343,30.51798740223643",-57.57701693089852,-38.01512497997343,30.51798740223643
3,50.0,"-57.56939934328773,-38.00667765078138,85.14858123694252",-57.56939934328773,-38.00667765078138,85.14858123694252
4,30.0,"-57.55966940126619,-38.00339832579654,39.47587021862612",-57.55966940126619,-38.00339832579654,39.47587021862612
5,24.0,"-57.57389027010269,-37.99105783124524,43.03405451330919",-57.57389027010269,-37.99105783124524,43.03405451330919
6,51.0,"-57.55869933082972,-38.00390271133722,57.18094231780839",-57.55869933082972,-38.00390271133722,57.18094231780839
7,15.0,"-57.55785500278772,-38.00285097975364,20.28609851598894",-57.55785500278772,-38.00285097975364,20.28609851598894
8,45.0,"-57.56970331883369,-38.01753809989243,64.3103643825352",-57.56970331883369,-38.01753809989243,64.3103643825352
9,12.0,"-57.55408372705771,-38.02422332155943,49.26818894988561",-57.55408372705771,-38.02422332155943,49.26818894988561
10,55.0,"-57.56280729226596,-38.02559765272782,66.44994933454889",-57.56280729226596,-38.02559765272782,66.44994933454889
11,20.0,"-57.56168343670188,-38.02585522165595,54.3839540379863",-57.56168343670188,-38.02585522165595,54.3839540379863
12,20.0,"-57.56182856805867,-38.02728151145389,23.14398342627116",-57.56182856805867,-38.02728151145389,23.14398342627116
13,15.0,"-57.57146448755561,-37.9962101969482,17.7131418338936",-57.57146448755561,-37.9962101969482,17.7131418338936
14,80.0,"-57.53130082683944,-38.01726633182301,131.634694948785",-57.53130082683944,-38.01726633182301,131.634694948785
15,100.0,"-57.53094720809367,-38.0174534210586,136.6841789149155",-57.53094720809367,-38.0174534210586,136.6841789149155
16,58.0,"-57.56162428170499,-37.98986226708149,61.88881130763097",-57.56162428170499,-37.98986226708149,61.88881130763097
17,50.0,"-57.57087654097655,-38.00495309029657,35.68189758020173",-57.57087654097655,-38.00495309029657,35.68189758020173
18,25.0,"-57.57428132547097,-37.99778673904931,27.23493710196881",-57.57428132547097,-37.99778673904931,27.23493710196881
19,15.0,"-57.56975439882422,-38.00065908283278,21.23842929809878",-57.56975439882422,-38.00065908283278,21.23842929809878
20,20.0,"-57.56277710970209,-38.00523849127985,18.9727193319072",-57.56277710970209,-38.00523849127985,18.9727193319072
21,25.0,"-57.54918033086992,-37.99705932290816,0",-57.54918033086992,-37.99705932290816,0
22,36.0,"-57.54792984968531,-37.99653371224921,0",-57.54792984968531,-37.99653371224921,0
23,66.0,"-57.54708497344359,-37.99588155207089,0",-57.54708497344359,-37.99588155207089,0
24,55.0,"-57.54380195161195,-37.99766477647435,0",-57.54380195161195,-37.99766477647435,0
25,15.0,"-57.56284692526141,-37.9878653061884,0",-57.56284692526141,-37.9878653061884,0
26,10.0,"-57.57645757831042,-38.00790683996016,0",-57.57645757831042,-38.00790683996016,0
27,30.0,"-57.54495596739274,-37.98655482980791,0",-57.54495596739274,-37.98655482980791,0
28,135.0,"-57.53832155570553,-38.0081718358112,0",-57.53832155570553,-38.0081718358112,0
29,15.0,"-57.5674476406563,-38.00158949351635,17.99642873542928",-57.5674476406563,-38.00158949351635,17.99642873542928
30,36.0,"-57.55680553593182,-37.99426786068324,49.5189163331567",-57.55680553593182,-37.99426786068324,49.5189163331567
31,30.0,"-57.56271173714584,-37.99162515671574,55.83388194358631",-57.56271173714584,-37.99162515671574,55.83388194358631
32,42.0,"-57.55348280334042,-37.99744551790764,48.62483105247587",-57.55348280334042,-37.99744551790764,48.62483105247587
33,15.0,"-57.55855363484232,-38.00073306208357,14.0378327390306",-57.55855363484232,-38.00073306208357,14.0378327390306
34,48.0,"-57.55425325377279,-37.99838229089384,58.20724056448132",-57.55425325377279,-37.99838229089384,58.20724056448132
35,39.0,"-57.55486763471882,-37.99789799680945,50.38584969713899",-57.55486763471882,-37.99789799680945,50.38584969713899
36,40.0,"-57.55276342549292,-37.99684106571112,18.76574017544321",-57.55276342549292,-37.99684106571112,18.76574017544321
37,27.0,"-57.55438591436346,-37.98791110905665,43.11089256746148",-57.55438591436346,-37.98791110905665,43.11089256746148
38,30.0,"-57.55480868507871,-37.98766632733619,24.75446056456897",-57.55480868507871,-37.98766632733619,24.75446056456897
39,20.0,"-57.55733181226095,-37.99584620328084,0",-57.55733181226095,-37.99584620328084,0
40,25.0,"-57.56545666179768,-37.99668190140246,0",-57.56545666179768,-37.99668190140246,0
41,30.0,"-57.54756287409592,-37.98855321799555,0",-57.54756287409592,-37.98855321799555,0
42,10.0,"-57.55440146231368,-38.02424310491628,47.13330263282802",-57.55440146231368,-38.02424310491628,47.13330263282802
43,6.5,"-57.56060947068493,-38.01833510395975,19.07688910601818",-57.56060947068493,-38.01833510395975,19.07688910601818
44,6.5,"-57.55356460232338,-38.01819649819949,32.28122195684207",-57.55356460232338,-38.01819649819949,32.28122195684207
45,38.0,"-57.58147044835582,-38.0163881139429,22.71692568695439",-57.58147044835582,-38.0163881139429,22.71692568695439
46,10.0,"-57.57269076614657,-38.00848657419361,24.09150363594998",-57.57269076614657,-38.00848657419361,24.09150363594998
47,10.0,"-57.57897443637989,-37.99731408590858,17.22030841692117",-57.57897443637989,-37.99731408590858,17.22030841692117
48,25.0,"-57.57645618530341,-37.99979034247151,16.05369020850956",-57.57645618530341,-37.99979034247151,16.05369020850956
49,33.0,"-57.57462409590941,-37.99964723233089,14.01591147009454",-57.57462409590941,-37.99964723233089,14.01591147009454
50,20.0,"-57.57306994881704,-37.99729605419139,17.95795011831323",-57.57306994881704,-37.99729605419139,17.95795011831323
51,25.0,"-57.57371556958251,-37.99097316726783,17.54197676797013",-57.57371556958251,-37.99097316726783,17.54197676797013
52,35.0,"-57.54058286576233,-38.0080032554164,25.87967239728216",-57.54058286576233,-38.0080032554164,25.87967239728216
53,120.0,"-57.54025466495042,-38.00887479775862,30.16374634498064",-57.54025466495042,-38.00887479775862,30.16374634498064
54,66.0,"-57.54755001317989,-37.99931875485993,19.33955410073717",-57.54755001317989,-37.99931875485993,19.33955410073717
55,30.0,"-57.54815069879899,-37.99617780634804,18.69983475829008",-57.54815069879899,-37.99617780634804,18.69983475829008
56,24.0,"-57.5506045946042,-37.98852330685309,15.03688112814014",-57.5506045946042,-37.98852330685309,15.03688112814014
57,52.0,"-57.55384676044501,-37.99384551699781,13.82261166533367",-57.55384676044501,-37.99384551699781,13.82261166533367
58,25.0,"-57.56339231901687,-37.99055926815982,16.67357453319082",-57.56339231901687,-37.99055926815982,16.67357453319082
59,25.0,"-57.56232258083293,-37.9909286892243,17.26045111102177",-57.56232258083293,-37.9909286892243,17.26045111102177
60,18.0,"-57.56191389460431,-37.99135790194093,16.78635525040683",-57.56191389460431,-37.99135790194093,16.78635525040683
61,51.0,"-57.56119624849411,-37.98992767852604,19.14862854761576",-57.56119624849411,-37.98992767852604,19.14862854761576
62,20.0,"-57.55789001469778,-37.99580704456356,15.59642974185677",-57.55789001469778,-37.99580704456356,15.59642974185677
63,38.0,"-57.5551088100628,-37.99558457352051,16.86661695356228",-57.5551088100628,-37.99558457352051,16.86661695356228
64,21.0,"-57.55530791230253,-37.99643171580509,17.41211326249541",-57.55530791230253,-37.99643171580509,17.41211326249541
65,40.0,"-57.55352162129167,-37.99806496114238,14.12440818369429",-57.55352162129167,-37.99806496114238,14.12440818369429
66,30.0,"-57.55268504342718,-37.99559854239791,17.84622231071359",-57.55268504342718,-37.99559854239791,17.84622231071359
67,30.0,"-57.55652615933808,-37.99752600055108,15.88417867998021",-57.55652615933808,-37.99752600055108,15.88417867998021
68,25.0,"-57.55630635120592,-37.99975519528162,15.46981655996524",-57.55630635120592,-37.99975519528162,15.46981655996524
69,25.0,"-57.55659422644472,-37.99987994739138,14.8675247972751",-57.55659422644472,-37.99987994739138,14.8675247972751
70,50.0,"-57.55608948110022,-38.00068959373719,14.44854666238288",-57.55608948110022,-38.00068959373719,14.44854666238288
71,50.0,"-57.55013586281418,-38.00383696995273,26.16648926427543",-57.55013586281418,-38.00383696995273,26.16648926427543
72,50.0,"-57.54983572988014,-38.00390010561639,25.72205412668105",-57.54983572988014,-38.00390010561639,25.72205412668105
73,40.0,"-57.55006361847457,-38.00412304888624,23.53976935102986",-57.55006361847457,-38.00412304888624,23.53976935102986
74,12.0,"-57.5576720333709,-38.0024832093738,14.95368768679346",-57.5576720333709,-38.0024832093738,14.95368768679346
75,15.0,"-57.55920100225828,-38.00362201865455,14.24402601904883",-57.55920100225828,-38.00362201865455,14.24402601904883
76,48.0,"-57.55238590571781,-38.00484346932824,17.73864200189767",-57.55238590571781,-38.00484346932824,17.73864200189767
77,30.0,"-57.54282670182207,-38.00968325756887,20.64610066462975",-57.54282670182207,-38.00968325756887,20.64610066462975
78,15.0,"-57.56309157371622,-37.99099734779023,17.65236954992363",-57.56309157371622,-37.99099734779023,17.65236954992363
